
2024/03/26 (14:51:37) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/03/27 (16:01:19) | ===> btop++ v.1.3.2
2024/03/27 (16:01:19) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/03/29 (16:18:28) | ===> btop++ v.1.3.2
2024/03/29 (16:18:28) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/03/29 (16:19:55) | ===> btop++ v.1.3.2
2024/03/29 (16:19:55) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/03/29 (17:00:53) | ===> btop++ v.1.3.2
2024/03/29 (17:00:53) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/03/29 (17:02:33) | ===> btop++ v.1.3.2
2024/03/29 (17:02:33) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/04/01 (18:42:21) | ===> btop++ v.1.3.2
2024/04/01 (18:42:21) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/04/01 (23:26:09) | ===> btop++ v.1.3.2
2024/04/01 (23:26:09) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/04/01 (23:27:32) | ===> btop++ v.1.3.2
2024/04/01 (23:27:32) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/04/01 (23:36:10) | ===> btop++ v.1.3.2
2024/04/01 (23:36:10) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/04/03 (07:26:23) | ===> btop++ v.1.3.2
2024/04/03 (07:26:23) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/04/03 (11:29:32) | ===> btop++ v.1.3.2
2024/04/03 (11:29:32) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/04/03 (13:24:25) | ===> btop++ v.1.3.2
2024/04/03 (13:24:25) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/04/03 (13:57:52) | ===> btop++ v.1.3.2
2024/04/03 (13:57:52) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/04/03 (19:30:55) | ===> btop++ v.1.3.2
2024/04/03 (19:30:55) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/04/04 (07:56:38) | ===> btop++ v.1.3.2
2024/04/04 (07:56:38) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/04/09 (15:58:39) | ===> btop++ v.1.3.2
2024/04/09 (15:58:39) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/04/09 (18:48:52) | ===> btop++ v.1.3.2
2024/04/09 (18:48:52) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/04/10 (11:52:06) | ===> btop++ v.1.3.2
2024/04/10 (11:52:06) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/04/14 (15:44:10) | ===> btop++ v.1.3.2
2024/04/14 (15:44:10) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/04/15 (17:53:25) | ===> btop++ v.1.3.2
2024/04/15 (17:53:25) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/04/17 (11:22:04) | ===> btop++ v.1.3.2
2024/04/17 (11:22:04) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/04/18 (21:50:26) | ===> btop++ v.1.3.2
2024/04/18 (21:50:26) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/04/19 (09:44:28) | ===> btop++ v.1.3.2
